OOEE,HISTORIAL,ALCANCE,IMPACTO-CALIDAD,PLAN-PRESUPUESTO,PORC-PRES-ACTUAL,PORC-PRES-ANTERIOR,CLASIFICACION,PUNTOS
Tennis,2,3,3,4,0.01545576464,0.02763279091,DEPORTIVO,25
Fitness Association,5,3,3,4,0.03139264257,0.08535462082,DEPORTIVO,50
Meditacion y Yoga ITAM,4,5,4,5,0.07622638786,0.09824992324,DEPORTIVO,60
Sharks ITAM,5,3,5,5,0.09020874303,0.06140620203,DEPORTIVO,50
Taekwondo,2,3,3,5,0.01924453185,0.02333435677,DEPORTIVO,10
Sonar,2,1,2,3,0.01644806081,0.02855388394,CULTURAL,10
Entelequia: Tertulias Generales,4,5,5,5,0.01517010362,0.02649677617,CULTURAL,20
Club de Veganos Y Vegetarianos de Alumnos del ITAM,4,3,3,4,0.03848906369,0.04912496162,CULTURAL,40
3DP,3,2,3,3,0.01862810544,0.02701872889,CULTURAL,25
Verde ITAM,5,3,5,4,0.03758697626,0.04298434142,CULTURAL,50
Silabas,3,2,3,4,0.007818091063,0.008596868284,CULTURAL,10
ITAM Construye,5,3,5,5,0.02405566481,0.01228124041,CULTURAL,30
Seminario de Analisis,5,1,3,4,0.03884989867,0.02763279091,ACADEMICO,20
Eagle Knights Robótica,1,2,3,5,0.04678826805,0.07982806263,ACADEMICO,50
SPI: Security and Privacy research lab ITAM,2,1,3,3,0.01353131145,0.02149217071,ACADEMICO,20
Modelo Legislativo,4,3,4,5,0.04059393436,0.003807184526,ACADEMICO,50
Debate ITAM,1,3,5,5,0.08464587054,0.09824992324,ACADEMICO,65
TEDxITAM,3,4,5,5,0.1511898533,0.02456248081,ACADEMICO,100
Laberintos ,5,5,5,5,0.04209741341,0.06017807799,PUBLICACION,50
holaMundo: Revista de ingeniería,5,4,4,5,0.02104870671,0.04298434142,PUBLICACION,35
Urbi et Orbi,3,4,4,5,0.03818836788,0.04169481118,PUBLICACION,35
Homies,5,5,4,5,0.0120278324,0.01934295364,RECREACION,20
Diversidad ITAM,5,4,3,3,0.05506341675,0.04682222905,RECREACION,45
Chill Squad,5,4,4,4,0.03608349721,0.03254528707,RECREACION,45
Belly Dancers,4,3,3,5,0.01864314023,0.007982806263,RECREACION,25
Smash Bros ITAM,5,3,3,3,0.01052435335,0.001842186061,RECREACION,15
