OOEE,HISTORIAL,ALCANCE,IMPACTO-CALIDAD,PLAN-PRESUPUESTO,PORC-PRES-ACTUAL,PORC-PRES-ANTERIOR,CLASIFICACION,PUNTOS
Tennis,2,3,3,5,5140,4500,DEPORTIVO,25
Fitness Association,5,3,3,2,10440,13900,DEPORTIVO,50
Meditacion y Yoga ITAM,4,5,4,2,25350,16000,DEPORTIVO,50
Sharks ITAM,5,3,5,,30000,10000,DEPORTIVO,50
Taekwondo,2,3,3,5,6400,3800,DEPORTIVO,10
Sonar,2,1,2,2,5470,4650,CULTURAL,10
Entelequia: Tertulias Generales,4,5,5,5,5045,4315,CULTURAL,20
Club de Veganos Y Vegetarianos de Alumnos del ITAM,4,3,3,2,12800,8000,CULTURAL,40
3DP,3,2,3,2,6195,4400,CULTURAL,25
Verde ITAM,5,3,5,2,42500,7000,CULTURAL,50
Silabas,3,2,3,4,2600,1400,CULTURAL,10
ITAM Construye,5,3,5,3,8000,2000,CULTURAL,30
Seminario de Analisis,5,1,3,2,12920,4500,ACADEMICO,15
Eagle Knights Robótica,1,2,3,2,15560,13000,ACADEMICO,50
SPI: Security and Privacy research lab ITAM,2,1,3,1,4500,3500,ACADEMICO,20
Modelo Legislativo,4,3,4,2,13500,620,ACADEMICO,50
Debate ITAM,1,3,5,2,28150,16000,ACADEMICO,50
TEDxITAM,3,4,5,2,50280,4000,ACADEMICO,100
Laberintos ,5,5,5,2,14000,9800,PUBLICACION,50
holaMundo: Revista de ingeniería,5,4,4,4,7000,7000,PUBLICACION,35
Urbi et Orbi,3,4,4,5,12700,6790,PUBLICACION,15
Homies,5,5,4,4,4000,3150,RECREACION,20
Diversidad ITAM,5,4,3,2,18312,7625,RECREACION,40
Chill Squad,5,4,4,1,12000,5300,RECREACION,40
Belly Dancers,4,3,3,3,6200,1300,RECREACION,30
Smash Bros ITAM,5,3,3,2,3500,300,RECREACION,15
